"[1861, 293]","[1867, 293]","[1867, 389]","[1861, 389]"
"[806, 494]","[818, 494]","[818, 723]","[806, 723]"
"[495, 1015]","[509, 1015]","[509, 1124]","[495, 1124]"
"[907, 289]","[913, 289]","[913, 375]","[907, 375]"
"[52, 409]","[68, 409]","[68, 807]","[52, 807]"
"[805, 208]","[815, 208]","[815, 379]","[805, 379]"
"[177, 199]","[189, 199]","[189, 490]","[177, 490]"
"[750, 803]","[770, 803]","[770, 850]","[750, 850]"
"[1762, 510]","[1774, 510]","[1774, 552]","[1762, 552]"
"[1565, 540]","[1774, 540]","[1774, 552]","[1565, 552]"
"[1874, 804]","[2259, 804]","[2259, 842]","[1874, 842]"
"[1762, 381]","[1867, 381]","[1867, 389]","[1762, 389]"
"[963, 1122]","[1300, 1122]","[1300, 1138]","[963, 1138]"
"[1303, 829]","[1323, 829]","[1323, 1126]","[1303, 1126]"
"[2251, 509]","[2287, 509]","[2287, 806]","[2251, 806]"
"[495, 1124]","[762, 1124]","[762, 1136]","[495, 1136]"
"[58, 810]","[411, 810]","[411, 824]","[58, 824]"
"[1380, 790]","[1541, 790]","[1541, 830]","[1380, 830]"
"[996, 478]","[1005, 478]","[1005, 486]","[996, 486]"
"[1354, 546]","[1394, 546]","[1394, 793]","[1354, 793]"
"[999, 377]","[1015, 377]","[1015, 475]","[999, 475]"
"[999, 475]","[1015, 475]","[1015, 483]","[999, 483]"
"[1366, 187]","[1774, 187]","[1774, 207]","[1366, 207]"
"[1366, 187]","[1398, 187]","[1398, 535]","[1366, 535]"
"[750, 987]","[969, 987]","[969, 999]","[750, 999]"
"[750, 987]","[762, 987]","[762, 1124]","[750, 1124]"
"[950, 619]","[1053, 619]","[1053, 629]","[950, 629]"
"[933, 631]","[947, 631]","[947, 718]","[933, 718]"
"[193, 195]","[403, 195]","[403, 201]","[193, 201]"
"[417, 191]","[425, 191]","[425, 199]","[417, 199]"
"[427, 186]","[815, 186]","[815, 208]","[427, 208]"
"[2252, 208]","[2286, 208]","[2286, 498]","[2252, 498]"
"[1950, 186]","[2286, 186]","[2286, 208]","[1950, 208]"
"[1041, 485]","[1053, 485]","[1053, 629]","[1041, 629]"
"[1277, 209]","[1309, 209]","[1309, 814]","[1277, 814]"
"[1002, 185]","[1309, 185]","[1309, 209]","[1002, 209]"
"[1046, 473]","[1059, 473]","[1059, 485]","[1046, 485]"
"[1853, 500]","[1962, 500]","[1962, 514]","[1853, 514]"
"[1853, 514]","[1865, 514]","[1865, 805]","[1853, 805]"
"[1762, 500]","[1865, 500]","[1865, 514]","[1762, 514]"
"[1950, 208]","[1962, 208]","[1962, 503]","[1950, 503]"
"[1762, 186]","[1962, 186]","[1962, 208]","[1762, 208]"
"[805, 186]","[1012, 186]","[1012, 208]","[805, 208]"
"[1762, 207]","[1774, 207]","[1774, 381]","[1762, 381]"
"[1555, 541]","[1565, 541]","[1565, 551]","[1555, 551]"
"[1543, 540]","[1555, 540]","[1555, 552]","[1543, 552]"
"[1002, 208]","[1012, 208]","[1012, 377]","[1002, 377]"
"[400, 205]","[434, 205]","[434, 496]","[400, 496]"
"[403, 191]","[434, 191]","[434, 205]","[403, 205]"
"[955, 813]","[971, 813]","[971, 821]","[955, 821]"
"[955, 825]","[969, 825]","[969, 999]","[955, 999]"
"[1362, 537]","[1543, 537]","[1543, 555]","[1362, 555]"
"[1015, 470]","[1046, 470]","[1046, 488]","[1015, 488]"
"[971, 797]","[1055, 797]","[1055, 837]","[971, 837]"
"[757, 797]","[798, 797]","[798, 837]","[757, 837]"
"[398, 794]","[757, 794]","[757, 840]","[398, 840]"
"[1041, 629]","[1053, 629]","[1053, 805]","[1041, 805]"
"[933, 718]","[947, 718]","[947, 740]","[933, 740]"
"[933, 740]","[947, 740]","[947, 794]","[933, 794]"
"[806, 724]","[947, 724]","[947, 740]","[806, 740]"
"[955, 999]","[969, 999]","[969, 1110]","[955, 1110]"
"[1300, 806]","[1310, 806]","[1310, 817]","[1300, 817]"
"[1300, 817]","[1310, 817]","[1310, 827]","[1300, 827]"
"[2264, 498]","[2274, 498]","[2274, 509]","[2264, 509]"
"[1307, 827]","[1319, 827]","[1319, 818]","[1307, 818]"
"[1964, 500]","[2270, 500]","[2270, 514]","[1964, 514]"
"[398, 496]","[436, 496]","[436, 794]","[398, 794]"
"[1292, 814]","[1294, 814]","[1294, 838]","[1292, 838]"
"[1055, 796]","[1294, 796]","[1294, 838]","[1055, 838]"
"[1950, 503]","[1964, 503]","[1964, 511]","[1950, 511]"
"[411, 814]","[436, 814]","[436, 820]","[411, 820]"
"[750, 1124]","[963, 1124]","[963, 1136]","[750, 1136]"
"[1045, 815]","[1055, 815]","[1055, 819]","[1045, 819]"
"[1045, 807]","[1055, 807]","[1055, 815]","[1045, 815]"
"[1853, 805]","[1870, 805]","[1870, 815]","[1853, 815]"
"[1552, 793]","[1865, 793]","[1865, 827]","[1552, 827]"
"[809, 816]","[818, 816]","[818, 818]","[809, 818]"
"[798, 812]","[809, 812]","[809, 822]","[798, 822]"
"[1541, 805]","[1552, 805]","[1552, 815]","[1541, 815]"
"[936, 812]","[946, 812]","[946, 822]","[936, 822]"
"[805, 744]","[819, 744]","[819, 805]","[805, 805]"
"[806, 805]","[818, 805]","[818, 805]","[806, 805]"
"[1041, 805]","[1055, 805]","[1055, 807]","[1041, 807]"
"[813, 811]","[935, 811]","[935, 835]","[813, 835]"
"[801, 817]","[813, 817]","[813, 829]","[801, 829]"
"[1864, 818]","[1874, 818]","[1874, 828]","[1864, 828]"
"[935, 802]","[1864, 802]","[1864, 844]","[935, 844]"
"[1767, 500]","[1769, 500]","[1769, 510]","[1767, 510]"
"[808, 723]","[816, 723]","[816, 724]","[808, 724]"
"[806, 724]","[818, 724]","[818, 744]","[806, 744]"
"[1762, 381]","[1774, 381]","[1774, 500]","[1762, 500]"
"[1377, 535]","[1387, 535]","[1387, 537]","[1377, 537]"
